Year,Category,Product,Sales,Rating
2024,Components,Chains,"$2,000 ",75%
2022,Clothing,Socks,"$3,700 ",22%
2024,Clothing,Bib-Shorts,"$4,000 ",22%
2022,Clothing,Shorts,"$13,300 ",56%
2024,Clothing,Tights,"$36,000 ",100%
2022,Components,Handlebars,"$2,300 ",35%
2023,Clothing,Socks,"$2,300 ",28%
2023,Components,Brakes,"$3,400 ",36%
2023,Bikes,Mountain Bikes,"$6,300 ",40%
2024,Components,Brakes,"$5,400 ",38%
2023,Accessories,Helmets,"$17,000 ",90%
2023,Accessories,Lights,"$21,600 ",90%
2023,Accessories,Locks,"$29,800 ",90%
2023,Components,Bottom Brackets,"$1,000 ",23%
2022,Clothing,Jerseys,"$6,700 ",5%
2024,Components,Bottom Brackets,$600 ,27%
2022,Bikes,Road Bikes,"$3,500 ",50%
2024,Clothing,Jerseys,"$7,500 ",40%
2024,Accessories,Tires and Tubes,"$63,700 ",90%
2024,Bikes,Cargo Bike,"$9,300 ",60%
2024,Bikes,Mountain Bikes,"$8,500 ",46%
2024,Accessories,Bike Racks,"$33,700 ",92%
2024,Clothing,Caps,$600 ,15%
2022,Bikes,Mountain Bikes,"$3,100 ",35%
2024,Accessories,Pumps,"$30,700 ",95%
2023,Accessories,Pumps,"$16,400 ",80%
2023,Accessories,Bike Racks,"$22,100 ",90%
2024,Accessories,Helmets,"$34,000 ",95%
2022,Accessories,Pumps,$700 ,10%
2022,Clothing,Tights,"$3,300 ",30%
2024,Bikes,Road Bikes,"$16,900 ",65%
2024,Accessories,Lights,"$36,700 ",90%
2022,Accessories,Helmets,"$8,300 ",99%
2023,Clothing,Bib-Shorts,"$2,900 ",36%
2022,Accessories,Tires and Tubes,"$8,700 ",90%
2024,Accessories,Locks,"$35,000 ",100%
2023,Bikes,Road Bikes,"$8,300 ",46%
2023,Components,Wheels,"$16,700 ",75%
2023,Bikes,Touring Bikes,"$1,800 ",15%
2024,Clothing,Socks,"$3,700 ",48%
2023,Clothing,Shorts,"$12,000 ",66%
2022,Accessories,Locks,"$10,000 ",85%
2022,Components,Bottom Brackets,$500 ,35%
2024,Components,Wheels,"$21,800 ",96%
2023,Components,Chains,"$16,400 ",70%
2023,Clothing,Caps,$400 ,20%
2022,Clothing,Vests,"$3,300 ",36%
2024,Components,Handlebars,"$5,000 ",35%
2023,Components,Handlebars,"$3,300 ",38%
2022,Components,Pedals,$800 ,36%
2023,Clothing,Gloves,"$15,600 ",65%
2023,Components,Pedals,"$1,500 ",17%
2024,Components,Pedals,"$6,200 ",38%
2024,Clothing,Gloves,"$27,000 ",88%
2023,Components,Saddles,"$2,800 ",38%
2023,Bikes,Cargo Bike,"$6,700 ",46%
2022,Clothing,Gloves,"$13,300 ",50%
2023,Accessories,Tires and Tubes,"$13,800 ",85%
2024,Clothing,Vests,"$2,400 ",35%
2022,Accessories,Bike Racks,$300 ,5%
2022,Components,Saddles,"$2,100 ",49%
2022,Components,Brakes,"$2,300 ",34%
2022,Components,Wheels,"$10,000 ",66%
2022,Bikes,Touring Bikes,$500 ,22%
2023,Clothing,Jerseys,"$3,800 ",48%
2022,Bikes,Cargo Bike,"$3,200 ",48%
2024,Clothing,Shorts,"$23,000 ",100%
2022,Clothing,Bib-Shorts,$700 ,28%
2022,Accessories,Lights,"$1,300 ",90%
2023,Clothing,Vests,"$1,300 ",25%
2023,Clothing,Tights,"$22,100 ",99%
2024,Components,Saddles,"$3,100 ",42%
2022,Clothing,Caps,$500 ,50%
2024,Bikes,Touring Bikes,"$3,100 ",22%
2022,Components,Chains,"$8,700 ",92%
